Time budget: 300s
Gradient accumulation steps: 8

step 00134 (34.9%) | loss: 4.714773 | lrm: 0.93 | dt: 850ms | tok/sec: 308,363 | mfu: 8.6% | epoch: 1 | remaining: 194s    
step 00135 (35.2%) | loss: 4.721324 | lrm: 0.93 | dt: 850ms | tok/sec: 308,273 | mfu: 8.6% | epoch: 1 | remaining: 194s    
step 00136 (35.5%) | loss: 4.724974 | lrm: 0.92 | dt: 850ms | tok/sec: 308,261 | mfu: 8.6% | epoch: 1 | remaining: 193s    
step 00137 (35.7%) | loss: 4.706934 | lrm: 0.92 | dt: 850ms | tok/sec: 308,274 | mfu: 8.6% | epoch: 1 | remaining: 192s    
step 00138 (36.0%) | loss: 4.691504 | lrm: 0.91 | dt: 852ms | tok/sec: 307,590 | mfu: 8.6% | epoch: 1 | remaining: 191s    
step 00139 (36.3%) | loss: 4.683716 | lrm: 0.91 | dt: 850ms | tok/sec: 308,335 | mfu: 8.6% | epoch: 1 | remaining: 190s    
step 00140 (36.6%) | loss: 4.681272 | lrm: 0.91 | dt: 850ms | tok/sec: 308,263 | mfu: 8.6% | epoch: 1 | remaining: 189s    
step 00141 (36.9%) | loss: 4.673905 | lrm: 0.90 | dt: 851ms | tok/sec: 308,139 | mfu: 8.6% | epoch: 1 | remaining: 189s    
step 00142 (37.2%) | loss: 4.666535 | lrm: 0.90 | dt: 851ms | tok/sec: 308,180 | mfu: 8.6% | epoch: 1 | remaining: 188s    
step 00143 (37.4%) | loss: 4.671297 | lrm: 0.89 | dt: 851ms | tok/sec: 307,952 | mfu: 8.6% | epoch: 1 | remaining: 187s    
step 00144 (37.7%) | loss: 4.672216 | lrm: 0.89 | dt: 850ms | tok/sec: 308,286 | mfu: 8.6% | epoch: 1 | remaining: 186s    
step 00145 (38.0%) | loss: 4.659752 | lrm: 0.89 | dt: 850ms | tok/sec: 308,280 | mfu: 8.6% | epoch: 1 | remaining: 185s    
step 00146 (38.3%) | loss: 4.646658 | lrm: 0.88 | dt: 850ms | tok/sec: 308,319 | mfu: 8.6% | epoch: 1 | remaining: 184s    
step 00147 (38.6%) | loss: 4.643778 | lrm: 0.88 | dt: 850ms | tok/sec: 308,360 | mfu: 8.6% | epoch: 1 | remaining: 183s    
step 00148 (38.9%) | loss: 4.643293 | lrm: 0.87 | dt: 851ms | tok/sec: 308,189 | mfu: 8.6% | epoch: 1 | remaining: 183s    
step 00149 (39.1%) | loss: 4.630743 | lrm: 0.87 | dt: 850ms | tok/sec: 308,330 | mfu: 8.6% | epoch: 1 | remaining: 182s    
step 00150 (39.4%) | loss: 4.620377 | lrm: 0.87 | dt: 851ms | tok/sec: 308,184 | mfu: 8.6% | epoch: 1 | remaining: 181s    
step 00151 (39.7%) | loss: 4.620453 | lrm: 0.86 | dt: 850ms | tok/sec: 308,309 | mfu: 8.6% | epoch: 1 | remaining: 180s    
step 00152 (40.0%) | loss: 4.604841 | lrm: 0.86 | dt: 852ms | tok/sec: 307,755 | mfu: 8.6% | epoch: 1 | remaining: 179s    
step 00153 (40.3%) | loss: 4.609166 | lrm: 0.85 | dt: 850ms | tok/sec: 308,226 | mfu: 8.6% | epoch: 1 | remaining: 178s    
step 00154 (40.6%) | loss: 4.607412 | lrm: 0.85 | dt: 851ms | tok/sec: 307,966 | mfu: 8.6% | epoch: 1 | remaining: 177s    
step 00155 (40.8%) | loss: 4.600320 | lrm: 0.85 | dt: 850ms | tok/sec: 308,318 | mfu: 8.6% | epoch: 1 | remaining: 177s    
step 00156 (41.1%) | loss: 4.597663 | lrm: 0.84 | dt: 851ms | tok/sec: 308,201 | mfu: 8.6% | epoch: 1 | remaining: 176s    
step 00157 (41.4%) | loss: 4.599323 | lrm: 0.84 | dt: 850ms | tok/sec: 308,284 | mfu: 8.6% | epoch: 1 | remaining: 175s    
step 00158 (41.7%) | loss: 4.596423 | lrm: 0.83 | dt: 850ms | tok/sec: 308,272 | mfu: 8.6% | epoch: 1 | remaining: 174s    
step 00159 (42.0%) | loss: 4.595475 | lrm: 0.83 | dt: 850ms | tok/sec: 308,294 | mfu: 8.6% | epoch: 1 | remaining: 173s    
step 00160 (42.3%) | loss: 4.588668 | lrm: 0.82 | dt: 851ms | tok/sec: 308,028 | mfu: 8.6% | epoch: 1 | remaining: 172s    
step 00161 (42.5%) | loss: 4.583881 | lrm: 0.82 | dt: 850ms | tok/sec: 308,244 | mfu: 8.6% | epoch: 1 | remaining: 172s    
step 00162 (42.8%) | loss: 4.582466 | lrm: 0.82 | dt: 851ms | tok/sec: 308,142 | mfu: 8.6% | epoch: 1 | remaining: 171s    
step 00163 (43.1%) | loss: 4.579495 | lrm: 0.81 | dt: 851ms | tok/sec: 308,213 | mfu: 8.6% | epoch: 1 | remaining: 170s    
step 00164 (43.4%) | loss: 4.576362 | lrm: 0.81 | dt: 851ms | tok/sec: 308,136 | mfu: 8.6% | epoch: 1 | remaining: 169s    
step 00165 (43.7%) | loss: 4.574026 | lrm: 0.80 | dt: 851ms | tok/sec: 308,169 | mfu: 8.6% | epoch: 1 | remaining: 168s    
step 00166 (44.0%) | loss: 4.567311 | lrm: 0.80 | dt: 850ms | tok/sec: 308,247 | mfu: 8.6% | epoch: 1 | remaining: 167s    
step 00167 (44.2%) | loss: 4.564398 | lrm: 0.80 | dt: 851ms | tok/sec: 307,965 | mfu: 8.6% | epoch: 1 | remaining: 166s    
step 00168 (44.5%) | loss: 4.570348 | lrm: 0.79 | dt: 850ms | tok/sec: 308,243 | mfu: 8.6% | epoch: 1 | remaining: 166s    
step 00169 (44.8%) | loss: 4.560753 | lrm: 0.79 | dt: 850ms | tok/sec: 308,249 | mfu: 8.6% | epoch: 1 | remaining: 165s    
step 00170 (45.1%) | loss: 4.553634 | lrm: 0.78 | dt: 851ms | tok/sec: 308,139 | mfu: 8.6% | epoch: 1 | remaining: 164s    
step 00171 (45.4%) | loss: 4.556308 | lrm: 0.78 | dt: 851ms | tok/sec: 308,210 | mfu: 8.6% | epoch: 1 | remaining: 163s    
step 00172 (45.7%) | loss: 4.546392 | lrm: 0.78 | dt: 851ms | tok/sec: 307,869 | mfu: 8.6% | epoch: 1 | remaining: 162s    
step 00173 (46.0%) | loss: 4.563023 | lrm: 0.77 | dt: 851ms | tok/sec: 308,209 | mfu: 8.6% | epoch: 1 | remaining: 161s    
step 00174 (46.2%) | loss: 4.554383 | lrm: 0.77 | dt: 851ms | tok/sec: 307,920 | mfu: 8.6% | epoch: 1 | remaining: 160s    
